x,y
0,20.2
1,21.7
2,23.2
3,24.7
4,26.2
5,27.7
6,29.2
7,30.7
8,32.2
9,33.7
10,35.2
11,36.7
12,38.2
13,39.7
14,41.2
15,42.7
16,44.2
17,45.7
18,47.2
19,48.7
20,50.2
21,51.7
22,53.2
23,54.7
24,56.2
25,57.7
26,59.2
27,60.7
28,62.2
29,63.7
30,65.2
31,66.7
32,68.2
33,69.7
34,71.2
35,72.7
36,74.2
37,75.7
38,77.2
39,78.7
40,80.2
41,81.7
42,83.2
43,84.7
44,86.2
45,87.7
46,89.2
47,90.7
48,92.2
49,93.7
50,95.2
51,96.7
52,98.2
53,99.7
54,101.2
55,102.7
56,104.2
57,105.7
58,107.2
59,108.7
60,110.2
61,111.7
62,113.2
63,114.7
64,116.2
65,117.7
66,119.2
67,120.7
68,122.2
69,123.7
70,125.2
71,126.7
72,128.2
73,129.7
74,131.2
75,132.7
76,134.2
77,135.7
78,137.2
79,138.7
80,140.2
81,141.7
82,143.2
83,144.7
84,146.2
85,147.7
86,149.2
87,150.7
88,152.2
89,153.7
90,155.2
91,156.7
92,158.2
93,159.7
94,161.2
95,162.7
96,164.2
97,165.7
98,167.2
99,168.7
