Time elapsed was ,518911086235,ns ,or,518.911086235,s
Time elapsed was ,510562165354,ns ,or,510.562165354,s
Time elapsed was ,510518862020,ns ,or,510.51886202,s
Time elapsed was ,510959452798,ns ,or,510.959452798,s
Time elapsed was ,510924148019,ns ,or,510.924148019,s
Time elapsed was ,511719576150,ns ,or,511.71957615,s
Time elapsed was ,511155186816,ns ,or,511.155186816,s
Time elapsed was ,511153996857,ns ,or,511.153996857,s
Time elapsed was ,678502818522,ns ,or,678.502818522,s
Time elapsed was ,610821023774,ns ,or,610.821023774,s
,,,,,
Average Time / Mean Time,538522831654.5,ns ,or,538.5228316545,s
